"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","11.38","6.51","3.70","26.21","9.44","3.69","11.60","6.64","3.76","26.86","9.84","4.03","11.44","6.82","4.42","26.75","9.68","4.84"
"","SD","3.41","1.91","1.01","16.70","5.46","1.62","3.46","1.93","1.01","16.75","5.38","1.55","3.50","2.09","1.50","17.57","5.20","2.49"
"$\text{DS}_{1, \text{nai}}$","Mean","10.78","6.00","3.48","22.96","8.26","3.19","11.06","6.16","3.55","23.85","8.90","3.73","10.90","6.36","4.25","23.27","8.66","4.56"
"","SD","3.48","1.82","0.97","14.91","4.79","1.49","3.48","1.83","0.98","14.91","4.68","1.42","3.53","2.04","1.53","15.24","4.67","2.55"
"$\text{DS}_{3, \text{opt}}$","Mean","8.30","3.82","1.93","23.21","8.05","3.12","9.27","4.63","\bftab 2.63","24.15","8.64","3.61","8.56","4.55","3.46","24.15","8.61","4.50"
"","SD","3.30","1.47","0.73","15.71","4.48","1.35","3.36","1.54","0.77","15.78","4.49","1.36","3.52","2.03","2.45","16.85","4.73","2.62"
"$\text{DS}_{3, \text{nai}}$","Mean","7.25","3.47","1.77","20.90","7.38","2.80","8.50","\bftab 4.54","2.69","22.00","8.18","\bftab 3.50","7.63","4.31","3.46","21.48","7.97","4.37"
"","SD","2.97","1.41","0.69","14.30","4.34","1.24","3.08","1.50","0.76","14.32","4.30","1.28","3.17","2.07","2.63","14.75","4.44","2.77"
"X13","Mean","5.36","4.67","4.28","13.91","8.85","6.42","8.22","5.65","4.76","17.01","9.81","6.75","6.26","5.51","5.24","15.29","9.57","7.19"
"","SD","2.87","1.99","1.51","9.82","4.85","2.55","2.90","1.93","1.37","9.94","4.85","2.43","3.20","2.30","1.79","11.60","5.20","2.66"
"TS","Mean","4.58","2.09","1.32","8.05","2.55","1.07","9.13","5.20","3.11","13.15","6.87","4.21","6.30","\bftab 4.01","\bftab 3.31","11.64","\bftab 5.36","\bftab 3.73"
"","SD","4.95","1.88","1.20","13.23","2.85","1.04","4.99","1.96","1.23","15.16","3.79","1.48","5.36","2.49","1.84","14.96","4.88","2.35"
"STL","Mean","3.83","3.97","3.94","10.17","7.40","5.62","7.62","5.14","4.03","13.96","8.56","5.70","\bftab 4.96","4.69","4.61","11.53","8.06","6.25"
"","SD","2.12","1.49","1.03","7.65","4.11","1.94","2.20","1.63","1.04","7.69","4.20","1.95","3.09","2.08","1.47","9.45","4.33","2.38"
"TBATS","Mean","89.38","89.46","89.51","90.84","89.92","89.12","91.79","91.46","91.47","92.85","91.80","91.32","67.26","68.99","73.11","63.24","68.61","72.24"
"","SD","3.80","1.03","0.58","5.48","3.84","4.57","6.75","0.77","0.42","5.07","3.55","4.40","48.17","47.39","47.67","44.35","48.58","47.62"
"MA","Mean","\bftab 2.24","\bftab 1.06","\bftab 0.50","\bftab 5.65","\bftab 1.90","\bftab 0.72","\bftab 6.71","5.52","4.95","\bftab 10.09","\bftab 6.36","5.17","5.38","7.03","11.59","\bftab 9.26","7.73","11.88"
"","SD","1.85","0.85","0.41","5.75","1.83","0.61","1.88","0.85","0.41","5.74","1.83","0.61","5.98","8.52","16.38","9.64","9.23","16.17"
