"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","0.57","0.29","0.15","17.43","4.54","1.22","\bftab 0.71","\bftab 0.37","\bftab 0.20","18.00","4.98","1.55","0.80","0.69","0.84","18.96","5.20","2.20"
"","SD","0.19","0.09","0.04","15.61","4.15","1.09","0.21","0.10","0.05","15.55","4.17","1.09","0.57","0.70","1.10","16.12","4.46","1.81"
"$\text{DS}_{1, \text{nai}}$","Mean","0.63","0.26","0.14","14.60","3.90","1.05","0.78","0.39","0.21","15.52","4.60","1.62","0.86","0.72","0.90","16.05","4.75","2.24"
"","SD","0.21","0.08","0.04","13.06","3.62","0.95","0.25","0.10","0.05","13.03","3.63","1.00","0.63","0.76","1.19","13.85","4.17","1.93"
"$\text{DS}_{3, \text{opt}}$","Mean","0.39","0.17","0.08","15.19","3.98","1.02","0.99","0.75","0.66","15.93","4.55","\bftab 1.51","0.76","0.91","1.47","16.63","4.70","2.22"
"","SD","0.16","0.07","0.03","13.49","3.66","0.95","0.31","0.23","0.19","13.28","3.69","0.95","0.95","1.20","2.09","13.91","3.99","1.91"
"$\text{DS}_{3, \text{nai}}$","Mean","0.34","0.15","0.07","13.64","3.61","0.92","1.19","0.95","0.85","14.65","\bftab 4.41","1.63","0.76","0.98","1.62","15.03","4.40","2.32"
"","SD","0.14","0.06","0.03","12.23","3.37","0.87","0.33","0.26","0.22","12.14","3.41","0.89","1.00","1.34","2.35","12.92","3.76","2.19"
"X13","Mean","0.19","0.18","0.16","8.91","4.18","2.05","2.40","0.48","0.23","11.93","4.93","2.19","0.85","0.73","0.67","10.46","4.96","2.49"
"","SD","0.11","0.07","0.05","9.04","3.99","1.85","0.46","0.12","0.05","9.03","4.10","1.86","1.40","0.83","0.71","9.71","4.24","1.78"
"TS","Mean","0.14","0.09","0.03","5.75","1.26","0.36","0.79","0.53","0.28","10.25","4.52","1.67","\bftab 0.68","\bftab 0.56","\bftab 0.52","8.80","\bftab 3.23","\bftab 1.84"
"","SD","0.17","0.08","0.05","12.53","2.05","0.81","0.29","0.18","0.09","12.63","3.02","1.47","0.57","0.34","0.32","15.44","3.15","1.64"
"STL","Mean","0.16","0.15","0.15","6.83","3.58","1.80","3.95","1.33","0.24","10.64","4.76","1.89","1.26","0.99","0.84","8.13","4.36","2.33"
"","SD","0.10","0.06","0.04","7.01","3.43","1.57","0.14","0.14","0.05","7.03","3.50","1.57","2.09","1.31","1.07","7.44","3.77","1.69"
"TBATS","Mean","88.74","88.91","89.28","90.26","89.62","89.15","90.68","90.68","90.83","92.19","91.44","91.23","68.61","69.49","70.18","64.00","69.34","72.56"
"","SD","1.32","1.03","1.24","4.99","2.88","2.29","0.80","0.65","0.84","4.16","1.83","1.42","48.27","47.79","48.88","44.76","47.31","47.79"
"MA","Mean","\bftab 0.08","\bftab 0.04","\bftab 0.02","\bftab 3.72","\bftab 0.98","\bftab 0.25","4.54","4.50","4.47","\bftab 8.17","5.44","4.70","3.34","6.04","10.52","\bftab 7.24","7.14","11.49"
"","SD","0.07","0.03","0.02","4.54","1.52","0.33","0.09","0.04","0.02","4.54","1.53","0.33","5.73","9.25","15.20","8.58","11.49","15.41"
