$r$,Inflation,Quantity,s1_t1_15,s1_t1_30,s1_t1_60,s1_t2_15,s1_t2_30,s1_t2_60,s1_t3_15,s1_t3_30,s1_t3_60,s2_t1_15,s2_t1_30,s2_t1_60,s2_t2_15,s2_t2_30,s2_t2_60,s2_t3_15,s2_t3_30,s2_t3_60
1,,$h_A$,0.49,0.49,0.49,0.14,0.13,0.11,0.11,0.09,0.08,0.49,0.49,0.49,0.14,0.13,0.11,0.11,0.09,0.08
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.25,0.27,0.28,0.15,0.13,0.11,0.12,0.10,0.09,0.25,0.27,0.28,0.15,0.13,0.11,0.12,0.10,0.09
,,$\text{SD}\left(\hat{h}\right)$,75.93,79.07,83.89,25.93,10.24,6.19,7.35,8.04,4.58,77.26,79.39,83.13,25.78,10.27,6.19,7.17,7.98,4.57
,,$\text{MSE}\left(\hat{h}\right)$,63.73,55.23,50.89,0.77,0.18,0.06,0.15,0.16,0.05,64.19,55.67,51.22,0.77,0.18,0.06,0.13,0.15,0.05
,,$\text{MSE}\left(\hat{g}\right)$,1.29,0.64,0.31,6.70,3.53,1.89,8.85,5.28,2.78,1.30,0.64,0.32,6.76,3.55,1.89,8.76,5.21,2.77
,,$\text{MSE}\left(\hat{s}\right)$,1.34,0.63,0.30,2.02,1.08,0.62,2.65,1.39,0.80,2.11,1.47,1.20,2.25,1.20,0.70,2.70,1.43,0.83
,,$\text{MSE}\left(\hat{m}\right)$,2.60,1.26,0.61,8.43,4.57,2.50,10.07,6.57,3.58,3.36,2.10,1.52,8.71,4.72,2.58,10.14,6.55,3.60
,naive,$\text{Mean}\left(\hat{h}\right)$,0.30,0.31,0.31,0.17,0.15,0.12,0.14,0.12,0.09,0.30,0.31,0.31,0.17,0.15,0.12,0.14,0.12,0.09
,,$\text{SD}\left(\hat{h}\right)$,65.52,66.37,68.36,20.85,10.95,7.01,23.56,7.95,4.62,67.77,66.20,68.43,20.08,10.82,7.00,23.27,7.98,4.63
,,$\text{MSE}\left(\hat{h}\right)$,42.28,37.18,35.57,1.18,0.63,0.28,1.39,0.71,0.20,42.24,37.63,35.80,1.23,0.66,0.28,1.34,0.70,0.20
,,$\text{MSE}\left(\hat{g}\right)$,1.16,0.58,0.29,8.49,4.63,2.40,14.36,7.75,3.54,1.17,0.58,0.29,8.64,4.68,2.41,14.15,7.72,3.54
,,$\text{MSE}\left(\hat{s}\right)$,1.13,0.54,0.27,1.79,0.98,0.57,2.59,1.22,0.74,2.18,1.62,1.37,2.10,1.16,0.67,2.71,1.29,0.78
,,$\text{MSE}\left(\hat{m}\right)$,2.26,1.12,0.55,10.03,5.61,2.97,14.44,8.98,4.28,3.30,2.20,1.66,10.48,5.84,3.08,14.41,9.04,4.31
3,,$h_A$,0.49,0.49,0.49,0.27,0.25,0.23,0.23,0.22,0.20,0.49,0.49,0.49,0.27,0.25,0.23,0.23,0.22,0.20
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.19,0.20,0.21,0.19,0.20,0.20,0.18,0.18,0.18,0.19,0.20,0.21,0.19,0.20,0.20,0.18,0.18,0.18
,,$\text{SD}\left(\hat{h}\right)$,29.98,32.71,32.09,27.31,26.45,22.67,21.25,16.45,12.75,31.18,32.76,31.31,28.44,26.35,22.46,21.97,16.61,12.72
,,$\text{MSE}\left(\hat{h}\right)$,90.91,83.06,79.46,7.63,3.44,1.51,3.34,1.26,0.51,91.42,83.50,79.80,7.82,3.52,1.54,3.40,1.29,0.52
,,$\text{MSE}\left(\hat{g}\right)$,2.78,1.42,0.71,2.86,1.50,0.79,3.05,1.65,0.89,2.81,1.42,0.71,2.89,1.50,0.79,3.07,1.65,0.89
,,$\text{MSE}\left(\hat{s}\right)$,1.61,0.76,0.37,1.63,0.77,0.38,1.69,0.81,0.41,2.06,1.23,0.87,2.06,1.21,0.82,2.06,1.17,0.74
,,$\text{MSE}\left(\hat{m}\right)$,4.25,2.15,1.07,4.33,2.25,1.17,4.58,2.44,1.30,4.68,2.63,1.57,4.75,2.68,1.60,4.93,2.79,1.63
,naive,$\text{Mean}\left(\hat{h}\right)$,0.22,0.24,0.24,0.22,0.22,0.22,0.20,0.20,0.19,0.22,0.24,0.24,0.21,0.22,0.22,0.20,0.20,0.19
,,$\text{SD}\left(\hat{h}\right)$,37.00,41.31,41.00,29.67,26.20,21.19,20.17,15.24,11.17,37.85,42.41,40.36,30.35,25.92,21.02,20.64,15.37,11.17
,,$\text{MSE}\left(\hat{h}\right)$,73.22,65.00,61.77,3.88,1.35,0.52,1.50,0.44,0.15,73.69,65.49,62.10,4.09,1.42,0.53,1.59,0.46,0.16
,,$\text{MSE}\left(\hat{g}\right)$,2.54,1.29,0.64,2.70,1.46,0.80,3.02,1.69,0.93,2.57,1.29,0.65,2.73,1.46,0.80,3.05,1.69,0.93
,,$\text{MSE}\left(\hat{s}\right)$,1.42,0.67,0.32,1.44,0.69,0.34,1.53,0.75,0.39,2.04,1.35,1.03,2.03,1.28,0.92,2.02,1.20,0.79
,,$\text{MSE}\left(\hat{m}\right)$,3.83,1.94,0.96,4.01,2.13,1.14,4.40,2.43,1.32,4.44,2.62,1.68,4.58,2.72,1.72,4.86,2.87,1.72
