$r$,Inflation,Quantity,s1_t1_15,s1_t1_30,s1_t1_60,s1_t2_15,s1_t2_30,s1_t2_60,s1_t3_15,s1_t3_30,s1_t3_60,s2_t1_15,s2_t1_30,s2_t1_60,s2_t2_15,s2_t2_30,s2_t2_60,s2_t3_15,s2_t3_30,s2_t3_60
1,,$h_A$,0.49,0.49,0.49,0.16,0.14,0.12,0.12,0.11,0.09,0.49,0.49,0.49,0.16,0.14,0.12,0.12,0.11,0.09
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.15,0.16,0.17,0.11,0.11,0.10,0.10,0.08,0.08,0.15,0.16,0.17,0.11,0.11,0.10,0.10,0.08,0.08
,,$\text{SD}\left(\hat{h}\right)$,41.73,47.60,48.95,7.69,11.08,9.10,4.01,7.94,6.39,42.15,47.40,49.90,7.90,11.08,9.12,4.08,7.94,6.38
,,$\text{MSE}\left(\hat{h}\right)$,115.66,110.12,103.64,3.42,1.57,0.60,0.52,0.56,0.28,117.61,111.27,103.80,3.40,1.56,0.60,0.55,0.57,0.28
,,$\text{MSE}\left(\hat{g}\right)$,6.73,4.03,2.25,9.41,6.11,3.93,13.38,8.11,5.23,6.79,4.06,2.25,9.44,6.11,3.93,13.38,8.09,5.23
,,$\text{MSE}\left(\hat{s}\right)$,0.86,0.41,0.19,1.14,0.56,0.29,1.21,0.68,0.37,1.12,0.66,0.47,1.22,0.62,0.33,1.25,0.71,0.38
,,$\text{MSE}\left(\hat{m}\right)$,7.55,4.41,2.43,10.18,6.65,4.21,14.10,8.78,5.59,7.87,4.69,2.72,10.27,6.72,4.26,14.20,8.80,5.61
,naive,$\text{Mean}\left(\hat{h}\right)$,0.19,0.20,0.21,0.12,0.12,0.11,0.11,0.10,0.09,0.18,0.20,0.21,0.12,0.12,0.11,0.11,0.10,0.09
,,$\text{SD}\left(\hat{h}\right)$,50.33,55.66,57.00,18.27,14.81,10.59,4.49,10.16,7.77,51.99,55.87,57.56,18.51,14.76,10.56,4.41,10.16,7.78
,,$\text{MSE}\left(\hat{h}\right)$,94.51,86.51,79.72,2.37,0.73,0.23,0.26,0.20,0.11,96.29,86.70,79.62,2.29,0.71,0.22,0.27,0.21,0.11
,,$\text{MSE}\left(\hat{g}\right)$,6.21,3.58,1.98,10.08,6.55,4.21,13.94,9.14,5.72,6.29,3.59,1.98,10.14,6.56,4.22,13.89,9.11,5.72
,,$\text{MSE}\left(\hat{s}\right)$,0.72,0.34,0.16,1.13,0.51,0.26,1.27,0.61,0.34,1.13,0.77,0.63,1.24,0.60,0.33,1.31,0.65,0.36
,,$\text{MSE}\left(\hat{m}\right)$,6.88,3.90,2.14,10.72,7.01,4.46,14.19,9.82,6.05,7.36,4.34,2.61,10.87,7.11,4.54,14.28,9.85,6.08
3,,$h_A$,0.49,0.49,0.49,0.30,0.27,0.25,0.26,0.24,0.22,0.49,0.49,0.49,0.30,0.27,0.25,0.26,0.24,0.22
,optimal,$\text{Mean}\left(\hat{h}\right)$,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.16,0.17,0.15,0.16,0.16,0.15,0.15,0.16
,,$\text{SD}\left(\hat{h}\right)$,25.48,23.64,25.00,24.41,22.15,22.87,20.11,18.23,17.18,26.06,23.62,24.87,24.74,22.14,22.65,20.87,18.20,17.17
,,$\text{MSE}\left(\hat{h}\right)$,111.63,108.83,105.75,20.16,13.58,8.58,11.43,6.98,4.05,113.06,109.27,106.06,20.87,13.75,8.65,11.73,7.08,4.08
,,$\text{MSE}\left(\hat{g}\right)$,9.92,6.67,4.06,9.98,6.71,4.10,10.11,6.84,4.21,10.00,6.69,4.07,10.06,6.73,4.10,10.19,6.86,4.22
,,$\text{MSE}\left(\hat{s}\right)$,0.81,0.39,0.19,0.81,0.39,0.19,0.84,0.40,0.20,1.11,0.63,0.42,1.11,0.62,0.42,1.10,0.61,0.39
,,$\text{MSE}\left(\hat{m}\right)$,10.61,7.03,4.24,10.67,7.07,4.28,10.83,7.21,4.40,10.91,7.28,4.48,10.97,7.32,4.51,11.11,7.43,4.60
,naive,$\text{Mean}\left(\hat{h}\right)$,0.18,0.18,0.19,0.18,0.18,0.19,0.17,0.17,0.18,0.18,0.18,0.19,0.17,0.18,0.19,0.17,0.17,0.17
,,$\text{SD}\left(\hat{h}\right)$,27.34,27.93,30.17,25.83,25.01,26.55,20.50,19.16,17.85,30.10,27.97,29.99,27.07,25.38,26.32,21.75,19.50,17.82
,,$\text{MSE}\left(\hat{h}\right)$,98.07,94.71,90.27,14.94,9.25,5.09,8.04,4.48,2.21,99.32,95.28,90.51,15.62,9.40,5.15,8.40,4.54,2.23
,,$\text{MSE}\left(\hat{g}\right)$,9.50,6.27,3.73,9.58,6.34,3.81,9.80,6.59,4.00,9.59,6.30,3.74,9.67,6.36,3.81,9.87,6.60,4.00
,,$\text{MSE}\left(\hat{s}\right)$,0.72,0.35,0.17,0.73,0.35,0.17,0.75,0.36,0.18,1.11,0.69,0.52,1.10,0.68,0.50,1.09,0.65,0.45
,,$\text{MSE}\left(\hat{m}\right)$,10.09,6.59,3.89,10.18,6.66,3.97,10.41,6.92,4.17,10.52,6.94,4.24,10.59,7.00,4.30,10.76,7.21,4.44
